Наименование эмитента; ИНН эмитента; Государственный регистрационный номер выпуска; Дата государственной регистрации выпуска; Вид ценной бумаги (государственная облигация, облигация, акция, биржевая облигация, пай); Торговая площадка; ИНН торговой площадки; Код ЦБ на торговой площадке; ISIN; Оставшаяся непогашенной часть номинала ЦБ; Валюта номинала; Дата погашения ЦБ; Размер государственных гарантий по ценной бумаге (для ипотечных ценных бумаг); Дата начала размещения выпуска; Дата окончания размещения выпуска; Дата регистрации отчета об итогах выпуска; Рыночная цена, рассчитываемая в соответствии с постановлением ФСФР №10-65/пз-н от 09.11.2010г.; Рыночная цена, рассчитываемая в соответствии с (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Признаваемая котировка ЦБ (Постановление ФСФР № 05-21/пз-н от 15.06.2005); Рыночная стоимость всех ЦБ данного выпуска (Постановление ФСФР №10-65/пз-н от 09.11.2010г.); НКД; Объем сделок, по которым был произведен расчет рыночной цены ценной бумаги (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Минимальная цена рыночной сделки; Максимальная цена рыночной сделки; Средневзвешенная цена; Доходность к погашению; Отчетная дата; Дата предоставления информации; Режим торгов; Количество ценных бумаг в выпуске; Количество размещенных ценных бумаг выпуска; Общий объем эмиссии в валюте номинала; Цена последней сделки; Цена закрытия; Дюрация, дней; Цена спроса на момент окончания торговой сессии; Дата ближайшей оферты по облигациям
АИЖК 8об;7729355614;4-08-00739-A;24.08.2006;об;ОАО Московская Биржа;7703507076;RU000A0JNPK5;RU000A0JNPK5;300;RUR;15.06.2018;0;04.10.2006;04.10.2006;19.10.2006;293,04;0;293,1;1465200000;5,27;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;1500000000;0;293,1;433;0;15.03.2014
МГор48-об;7710152113;RU32048MOS0;14.11.2006;об;ОАО Московская Биржа;7703507076;RU000A0JNYN1;RU000A0JNYN1;1000;RUR;11.06.2022;0;11.12.2006;11.12.2006;11.12.2006;875,1;874,7;877;26253000000;16,88;7988709,2;877;877;877;9,13;07.09.2016;08.09.2016;EQOB;30000000;30000000;30000000000;877;877;1738;876;
МГор49-об;7710152113;RU32049MOS0;14.11.2006;об;ОАО Московская Биржа;7703507076;RU000A0JNYP6;RU000A0JNYP6;1000;RUR;14.06.2017;0;14.12.2006;20.05.2008;06.02.2008;986,5;986,5;982,6;24662500000;16,3;195432956,1;0;0;0;0;07.09.2016;08.09.2016;EQOB;25000000;14055759;25000000000;0;982,6;274;980,3;
АИЖК 9об;7729355614;4-09-00739-A;24.08.2006;об;ОАО Московская Биржа;7703507076;RU000A0JP1V5;RU000A0JP1V5;200;RUR;15.02.2017;0;08.02.2007;08.02.2007;21.02.2007;0;0;199,8;0;0,94;0;199,8;199,8;199,8;7,96;07.09.2016;08.09.2016;EQOB;5000000;5000000;1000000000;199,8;199,8;159;190,4;15.02.2015
РСХБ 3;7725114488;40303349B;26.01.2007;об;ОАО Московская Биржа;7703507076;RU000A0JP2G4;RU000A0JP2G4;1000;RUR;09.02.2017;0;22.02.2007;22.02.2007;29.03.2007;1008,5;1008,5;1007,2;10085000000;8,88;287968138,4;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1007,2;155;1005,5;13.02.2014
ГСС 01;7714175986;4-01-21927-H;21.02.2007;об;ОАО Московская Биржа;7703507076;RU000A0JP518;RU000A0JP518;1000;RUR;26.03.2017;0;29.03.2007;29.03.2007;03.05.2007;937,2;0;969;4686000000;0,48;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;969;200;0;20.09.2012
РСХБ 4;7725114488;40403349B;26.01.2007;об;ОАО Московская Биржа;7703507076;RU000A0JPF47;RU000A0JPF47;1000;RUR;27.09.2017;0;10.10.2007;10.10.2007;24.10.2007;1013,1;0;1014;10131000000;54,48;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1014;193;1009,4;31.03.2017
АИЖК 10об;7729355614;4-10-00739-A;15.11.2007;об;ОАО Московская Биржа;7703507076;RU000A0JPJE6;RU000A0JPJE6;500;RUR;15.11.2018;0;11.12.2007;11.12.2007;20.12.2007;487,45;0;492,45;2924700000;2,54;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;6000000;6000000;3000000000;0;492,45;395;488;15.11.2016
АИЖК 11об;7729355614;4-11-00739-A;15.11.2007;об;ОАО Московская Биржа;7703507076;RU000A0JPLU8;RU000A0JPLU8;700;RUR;15.09.2020;0;31.01.2008;31.01.2008;12.02.2008;679,14;0;689,36;6791400000;13,21;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;7000000000;0;689,36;503;0;
РСХБ 6;7725114488;40603349B;05.02.2008;об;ОАО Московская Биржа;7703507076;RU000A0JPMT8;RU000A0JPMT8;1000;RUR;09.02.2018;0;22.02.2008;22.02.2008;20.03.2008;1004;0;935,3;5020000000;7,05;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;935,3;495;944,5;16.08.2016
